date,vaccination.administered,vaccination.administered.todate,vaccination.administered2nd,vaccination.administered2nd.todate,vaccination.used.todate
2020-12-27,6027,6027,0,0,6027
2020-12-28,1547,7574,0,0,7574
2020-12-29,1236,8810,0,0,8810
2020-12-30,385,9195,0,0,9195
2020-12-31,1852,11047,0,0,11047
2021-01-01,150,11197,0,0,11197
2021-01-02,404,11601,0,0,11601
2021-01-03,555,12156,0,0,12156
2021-01-04,1080,13236,0,0,13236
2021-01-05,2458,15694,0,0,15694
2021-01-06,5258,20952,0,0,20952
2021-01-07,5448,26400,0,0,26400
2021-01-08,3214,29614,1,1,29615
2021-01-09,254,29868,0,1,29869
2021-01-10,1,29869,0,1,29870
2021-01-11,484,30353,0,1,30354
2021-01-12,1803,32156,0,1,32157
2021-01-13,4689,36845,1,2,36847
2021-01-14,6659,43504,1,3,43507
2021-01-15,4762,48266,135,138,48404
2021-01-16,324,48590,0,138,48728
2021-01-17,4,48594,0,138,48732
2021-01-18,62,48656,165,303,48959
2021-01-19,556,49212,1612,1915,51127
2021-01-20,1153,50365,3520,5435,55800
2021-01-21,1291,51656,3364,8799,60455
2021-01-22,1207,52863,968,9767,62630
2021-01-23,229,53092,483,10250,63342
2021-01-24,16,53108,133,10383,63491
2021-01-25,3,53111,4,10387,63498
2021-01-26,88,53199,1739,12126,65325
2021-01-27,286,53485,4738,16864,70349
2021-01-28,523,54008,5569,22433,76441
2021-01-29,568,54576,3997,26430,81006
2021-01-30,11,54587,105,26535,81122
2021-01-31,0,54587,2,26537,81124
2021-02-01,23,54610,30,26567,81177
2021-02-02,18,54628,1095,27662,82290
2021-02-03,198,54826,4598,32260,87086
2021-02-04,660,55486,6724,38984,94470
2021-02-05,423,55909,5217,44201,100110
2021-02-06,29,55938,572,44773,100711
2021-02-07,0,55938,0,44773,100711
2021-02-08,398,56336,0,44773,101109
2021-02-09,88,56424,31,44804,101228
2021-02-10,2494,58918,706,45510,104428
2021-02-11,6833,65751,1728,47238,112989
2021-02-12,6871,72622,1732,48970,121592
2021-02-13,710,73332,189,49159,122491
2021-02-14,16,73348,16,49175,122523
2021-02-15,79,73427,8,49183,122610
2021-02-16,1044,74471,71,49254,123725
2021-02-17,4907,79378,624,49878,129256
2021-02-18,8301,87679,720,50598,138277
2021-02-19,6145,93824,599,51197,145021
2021-02-20,2519,96343,19,51216,147559
2021-02-21,1,96344,0,51216,147560
2021-02-22,472,96816,3,51219,148035
2021-02-23,1511,98327,7,51226,149553
2021-02-24,6789,105116,185,51411,156527
2021-02-25,10733,115849,188,51599,167448
2021-02-26,7211,123060,543,52142,175202
2021-02-27,916,123976,10,52152,176128
2021-02-28,0,123976,0,52152,176128
2021-03-01,1138,125114,0,52152,177266
2021-03-02,2153,127267,11,52163,179430
2021-03-03,6476,133743,876,53039,186782
2021-03-04,6685,140428,4442,57481,197909
2021-03-05,4585,145013,5662,63143,208156
2021-03-06,1339,146352,594,63737,210089
2021-03-07,0,146352,0,63737,210089
2021-03-08,1410,147762,394,64131,211893
2021-03-09,3681,151443,495,64626,216069
2021-03-10,4667,156110,4920,69546,225656
2021-03-11,6061,162171,7844,77390,239561
2021-03-12,8356,170527,5091,82481,253008
2021-03-13,6050,176577,2160,84641,261218
2021-03-14,0,176577,0,84641,261218
2021-03-15,1331,177908,293,84934,262842
2021-03-16,268,178176,780,85714,263890
2021-03-17,448,178624,5676,91390,270014
2021-03-18,1677,180301,8359,99749,280050
2021-03-19,2994,183295,4477,104226,287521
2021-03-20,3780,187075,178,104404,291479
2021-03-21,0,187075,0,104404,291479
2021-03-22,1118,188193,9,104413,292606
2021-03-23,3923,192116,312,104725,296841
2021-03-24,7323,199439,2566,107291,306730
2021-03-25,11767,211206,2496,109787,320993
2021-03-26,13249,224455,2197,111984,336439
2021-03-27,6648,231103,438,112422,343525
2021-03-28,1258,232361,3,112425,344786
2021-03-29,1122,233483,7,112432,345915
2021-03-30,7463,240946,319,112751,353697
2021-03-31,12979,253925,1249,114000,367925
2021-04-01,6315,260240,2121,116121,376361
